order_id,customer_id,sales_person_id,order_date,total_amount,,
1,5,2,2024/04/23,2452922,"1,5,2,'2024/04/23',2452922","(1,5,2,'2024/04/23',2452922),"
2,1,4,2024/07/05,7972336,"2,1,4,'2024/07/05',7972336","(2,1,4,'2024/07/05',7972336),"
3,7,4,2024/08/21,6264611,"3,7,4,'2024/08/21',6264611","(3,7,4,'2024/08/21',6264611),"
4,3,6,2024/06/03,8931947,"4,3,6,'2024/06/03',8931947","(4,3,6,'2024/06/03',8931947),"
5,2,7,2024/04/11,8255736,"5,2,7,'2024/04/11',8255736","(5,2,7,'2024/04/11',8255736),"
6,3,2,2024/03/07,3181224,"6,3,2,'2024/03/07',3181224","(6,3,2,'2024/03/07',3181224),"
7,4,4,2024/12/15,9131878,"7,4,4,'2024/12/15',9131878","(7,4,4,'2024/12/15',9131878),"
8,7,3,2024/08/10,1169398,"8,7,3,'2024/08/10',1169398","(8,7,3,'2024/08/10',1169398),"
9,3,6,2024/01/20,2233125,"9,3,6,'2024/01/20',2233125","(9,3,6,'2024/01/20',2233125),"
10,2,2,2024/02/09,415754,"10,2,2,'2024/02/09',415754","(10,2,2,'2024/02/09',415754),"
11,7,5,2024/04/27,2448332,"11,7,5,'2024/04/27',2448332","(11,7,5,'2024/04/27',2448332),"
12,4,1,2024/01/17,7021722,"12,4,1,'2024/01/17',7021722","(12,4,1,'2024/01/17',7021722),"
13,1,1,2024/12/15,4462475,"13,1,1,'2024/12/15',4462475","(13,1,1,'2024/12/15',4462475),"
14,5,3,2024/09/27,2037313,"14,5,3,'2024/09/27',2037313","(14,5,3,'2024/09/27',2037313),"
15,7,1,2024/06/11,49131,"15,7,1,'2024/06/11',49131","(15,7,1,'2024/06/11',49131),"
16,3,1,2024/08/05,7128277,"16,3,1,'2024/08/05',7128277","(16,3,1,'2024/08/05',7128277),"
17,4,6,2024/03/28,8359985,"17,4,6,'2024/03/28',8359985","(17,4,6,'2024/03/28',8359985),"
18,5,4,2024/05/04,2873092,"18,5,4,'2024/05/04',2873092","(18,5,4,'2024/05/04',2873092),"
19,3,5,2024/02/03,330519,"19,3,5,'2024/02/03',330519","(19,3,5,'2024/02/03',330519),"
20,1,2,2024/03/06,6339367,"20,1,2,'2024/03/06',6339367","(20,1,2,'2024/03/06',6339367),"
21,6,2,2024/10/21,9492974,"21,6,2,'2024/10/21',9492974","(21,6,2,'2024/10/21',9492974),"
22,2,4,2024/08/05,8637733,"22,2,4,'2024/08/05',8637733","(22,2,4,'2024/08/05',8637733),"
,,,,,,
,,,,,,
,,,,,,
